signal_id,timestamp,signal_action,signal_type,signal_price,status,skip_reason,consecutive_losses,win_streak,current_capital,has_open_position,feature_open,feature_high,feature_low,feature_close,feature_volume,feature_EMA_8,feature_EMA_21,feature_EMA_50,feature_RSI,feature_MACD,feature_MACD_signal,feature_MACD_hist,feature_ATR,feature_BB_width,feature_ema8_vs_ema21,feature_price_vs_ema50,feature_returns_1min,feature_hour,feature_minute,feature_day_of_week,feature_has_open_position,feature_consecutive_losses,feature_win_streak,feature_capital
75,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
76,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
77,,NO_SIGNAL,,0.0,NO_SIGNAL,,2,0,980237.5000000005,False,,,,,,,,,,,,,,,,,,,,,,,,
78,2020-01-06 10:16:00,SELL,SELL_MODERATE,12086.45,GENERATED,,2,0,980237.5000000005,False,12086.35,12087.15,12084.85,12086.45,0.0,12088.342053125234,12089.218824172469,12101.02562708255,46.62554630535004,-1.2252564912741946,-1.145441528260595,-0.07981496301359958,6.043075,0.0010953563809460783,-0.8767710472347972,-0.0012044951834436768,-0.002482056797725729,10.0,16.0,0.0,False,2.0,0.0,980237.5000000005
79,2020-01-06 10:16:00,SELL,SELL_MODERATE,12086.45,EXECUTED,,2,0,980237.5000000005,True,12086.35,12087.15,12084.85,12086.45,0.0,12088.342053125234,12089.218824172469,12101.02562708255,46.62554630535004,-1.2252564912741946,-1.145441528260595,-0.07981496301359958,6.043075,0.0010953563809460783,-0.8767710472347972,-0.0012044951834436768,-0.002482056797725729,10.0,16.0,0.0,False,2.0,0.0,980237.5000000005
80,,NO_SIGNAL,,0.0,NO_SIGNAL,,3,0,975943.7500000009,False,,,,,,,,,,,,,,,,,,,,,,,,
81,2020-01-06 10:34:00,BUY,BUY_MODERATE,12094.65,GENERATED,,3,0,975943.7500000009,False,12097.7,12097.9,12094.4,12094.65,0.0,12090.085584225119,12086.791931926833,12092.727158230746,67.43243788435156,1.3271778642301797,-0.9048743417876921,2.2320522060178716,6.047825,0.002057698390520342,3.2936522982854513,0.00015900811653923874,-0.026864166508233644,10.0,34.0,0.0,False,3.0,0.0,975943.7500000009
82,2020-01-06 10:34:00,BUY,BUY_MODERATE,12094.65,EXECUTED,,3,0,975943.7500000009,True,12097.7,12097.9,12094.4,12094.65,0.0,12090.085584225119,12086.791931926833,12092.727158230746,67.43243788435156,1.3271778642301797,-0.9048743417876921,2.2320522060178716,6.047825,0.002057698390520342,3.2936522982854513,0.00015900811653923874,-0.026864166508233644,10.0,34.0,0.0,False,3.0,0.0,975943.7500000009
83,,NO_SIGNAL,,0.0,NO_SIGNAL,,4,0,972853.7500000012,False,,,,,,,,,,,,,,,,,,,,,,,,
84,,NO_SIGNAL,,0.0,NO_SIGNAL,,4,0,972853.7500000012,False,,,,,,,,,,,,,,,,,,,,,,,,
85,,NO_SIGNAL,,0.0,NO_SIGNAL,,4,0,972853.7500000012,False,,,,,,,,,,,,,,,,,,,,,,,,
86,,NO_SIGNAL,,0.0,NO_SIGNAL,,4,0,972853.7500000012,False,,,,,,,,,,,,,,,,,,,,,,,,
87,2020-01-06 10:50:00,SELL,SELL_MODERATE,12084.95,GENERATED,,4,0,972853.7500000012,False,12079.25,12085.45,12079.25,12084.95,0.0,12085.335370940762,12087.49375651831,12090.841496666402,39.3920825280978,-1.1370937564370251,0.16923941971357434,-1.3063331761505994,6.0416083333333335,0.0016757772732911944,-2.1583855775479606,-0.0004872693656621241,0.03932054105064697,10.0,50.0,0.0,False,4.0,0.0,972853.7500000012
88,2020-01-06 10:50:00,SELL,SELL_MODERATE,12084.95,EXECUTED,,4,0,972853.7500000012,True,12079.25,12085.45,12079.25,12084.95,0.0,12085.335370940762,12087.49375651831,12090.841496666402,39.3920825280978,-1.1370937564370251,0.16923941971357434,-1.3063331761505994,6.0416083333333335,0.0016757772732911944,-2.1583855775479606,-0.0004872693656621241,0.03932054105064697,10.0,50.0,0.0,False,4.0,0.0,972853.7500000012
89,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,1,978231.2500000012,False,,,,,,,,,,,,,,,,,,,,,,,,
90,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,1,978231.2500000012,False,,,,,,,,,,,,,,,,,,,,,,,,
91,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,1,978231.2500000012,False,,,,,,,,,,,,,,,,,,,,,,,,
92,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,1,978231.2500000012,False,,,,,,,,,,,,,,,,,,,,,,,,
93,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,1,978231.2500000012,False,,,,,,,,,,,,,,,,,,,,,,,,
94,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,1,978231.2500000012,False,,,,,,,,,,,,,,,,,,,,,,,,
95,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,1,978231.2500000012,False,,,,,,,,,,,,,,,,,,,,,,,,
96,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,1,978231.2500000012,False,,,,,,,,,,,,,,,,,,,,,,,,
97,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,1,978231.2500000012,False,,,,,,,,,,,,,,,,,,,,,,,,
98,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,1,978231.2500000012,False,,,,,,,,,,,,,,,,,,,,,,,,
99,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,1,978231.2500000012,False,,,,,,,,,,,,,,,,,,,,,,,,
100,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,1,978231.2500000012,False,,,,,,,,,,,,,,,,,,,,,,,,
101,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,1,978231.2500000012,False,,,,,,,,,,,,,,,,,,,,,,,,
102,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,1,978231.2500000012,False,,,,,,,,,,,,,,,,,,,,,,,,
103,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,1,978231.2500000012,False,,,,,,,,,,,,,,,,,,,,,,,,
104,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,1,978231.2500000012,False,,,,,,,,,,,,,,,,,,,,,,,,
105,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,1,978231.2500000012,False,,,,,,,,,,,,,,,,,,,,,,,,
106,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,1,978231.2500000012,False,,,,,,,,,,,,,,,,,,,,,,,,
107,,NO_SIGNAL,,0.0,NO_SIGNAL,,0,1,978231.2500000012,False,,,,,,,,,,,,,,,,,,,,,,,,
108,2020-01-06 11:44:00,SELL,SELL_MODERATE,12033.45,GENERATED,,0,1,978231.2500000012,False,12032.9,12035.0,12032.45,12033.45,0.0,12038.574820880975,12045.673697962742,12057.874050230539,32.58009786323839,-7.2884336044171505,-6.996797508348513,-0.29163609606863705,6.016816666666667,0.0016402903026383946,-7.098877081767569,-0.002025568531300981,-0.0012465097726344077,11.0,44.0,0.0,False,0.0,1.0,978231.2500000012
