trade_id,timestamp,action,strategy,status,exit_price,pnl
157,2022-08-23 09:45:00+05:30,SELL,trend_following,CLOSED,17565.8,750.0
158,2022-08-23 12:45:00+05:30,SELL,trend_following,CLOSED,17588.55,-4376.249999999891
159,2022-08-25 14:15:00+05:30,BUY,trend_following,CLOSED,17637.7,-7762.5
160,2022-08-25 14:30:00+05:30,BUY,trend_following,CLOSED,17613.95,-5842.500000000109
161,2022-08-26 12:00:00+05:30,SELL,trend_following,CLOSED,17614.25,750.0
162,2022-08-26 12:15:00+05:30,SELL,trend_following,CLOSED,17614.4,750.0
163,2022-09-02 12:00:00+05:30,SELL,trend_following,CLOSED,17545.25,750.0
164,2022-09-02 12:15:00+05:30,SELL,trend_following,CLOSED,17561.65,750.0
165,2022-09-06 10:00:00+05:30,BUY,trend_following,CLOSED,17629.7,-4293.750000000273
166,2022-09-06 10:15:00+05:30,BUY,trend_following,CLOSED,17588.5,-2722.4999999996726
167,2022-09-09 13:00:00+05:30,BUY,trend_following,CLOSED,17839.45,1500.0
168,2022-09-09 13:15:00+05:30,BUY,trend_following,CLOSED,17822.2,3000.0
169,2022-09-09 15:00:00+05:30,BUY,trend_following,CLOSED,17848.85,750.0
170,2022-09-19 10:00:00+05:30,SELL,trend_following,CLOSED,17615.4,750.0
171,2022-09-19 10:15:00+05:30,SELL,trend_following,CLOSED,17634.75,750.0
172,2022-09-19 12:00:00+05:30,SELL,trend_following,CLOSED,17623.45,750.0
173,2022-09-19 13:30:00+05:30,SELL,trend_following,CLOSED,17617.6,1500.0
174,2022-09-20 15:00:00+05:30,BUY,trend_following,CLOSED,17814.55,3750.0
175,2022-09-20 15:15:00+05:30,BUY,trend_following,CLOSED,17780.5,-5362.5
176,2022-09-22 13:30:00+05:30,SELL,trend_following,CLOSED,17219.962499999998,33115.31250000016
177,2022-09-22 13:45:00+05:30,SELL,trend_following,CLOSED,17239.70625,66306.56250000012
178,2022-09-27 12:45:00+05:30,SELL,trend_following,CLOSED,17077.65,750.0
179,2022-09-27 13:00:00+05:30,SELL,trend_following,CLOSED,17073.35,750.0
180,2022-10-03 09:45:00+05:30,BUY,trend_following,CLOSED,16990.75,1500.0
181,2022-10-03 10:00:00+05:30,BUY,trend_following,CLOSED,16989.35,2250.0
182,2022-10-06 14:00:00+05:30,BUY,trend_following,CLOSED,17315.906885614215,-6066.467157867555
183,2022-10-06 14:15:00+05:30,BUY,trend_following,CLOSED,17317.388968531304,-8169.9820804567025
184,2022-10-10 12:30:00+05:30,SELL,trend_following,CLOSED,17256.2,750.0
185,2022-10-11 11:45:00+05:30,SELL,trend_following,CLOSED,17181.95,750.0
186,2022-10-14 14:15:00+05:30,BUY,trend_following,CLOSED,17185.68035487165,-6692.946769252558
187,2022-10-14 14:30:00+05:30,BUY,trend_following,CLOSED,17187.273282131588,-5854.007680261748
188,2022-10-18 14:30:00+05:30,BUY,trend_following,CLOSED,17892.605,32730.374999999913
189,2022-10-19 13:45:00+05:30,BUY,trend_following,CLOSED,17521.7,3000.0
190,2022-10-25 13:00:00+05:30,BUY,trend_following,CLOSED,17671.1,750.0
191,2022-10-25 15:00:00+05:30,BUY,trend_following,CLOSED,17661.7,3750.0
192,2022-10-28 12:45:00+05:30,BUY,trend_following,CLOSED,17753.35,750.0
193,2022-11-02 10:45:00+05:30,BUY,trend_following,CLOSED,18060.15,-7507.499999999891
194,2022-11-02 11:00:00+05:30,BUY,trend_following,CLOSED,18060.15,-8475.0
195,2022-11-03 14:45:00+05:30,SELL,trend_following,CLOSED,18051.05,1500.0
196,2022-11-03 15:15:00+05:30,SELL,trend_following,CLOSED,18042.7,1500.0
197,2022-11-03 15:30:00+05:30,SELL,trend_following,CLOSED,18042.7,1500.0
198,2022-11-09 10:45:00+05:30,BUY,trend_following,CLOSED,18183.123847885174,-3009.807043060391
199,2022-11-09 11:00:00+05:30,BUY,trend_following,CLOSED,18182.6,-2550.0000000010914
200,2022-11-10 15:00:00+05:30,SELL,trend_following,CLOSED,18076.333069912198,-7339.960486829477
201,2022-11-10 15:15:00+05:30,SELL,trend_following,CLOSED,18074.445498543093,-6936.824781463838
202,2022-11-14 12:45:00+05:30,BUY,trend_following,CLOSED,18329.6,2250.0
203,2022-11-14 13:00:00+05:30,BUY,trend_following,CLOSED,18342.7,1500.0
204,2022-11-14 14:45:00+05:30,BUY,trend_following,CLOSED,18349.6,2250.0
205,2022-11-14 15:15:00+05:30,BUY,trend_following,CLOSED,18306.0221433132,-8672.946257550848
206,2022-11-16 14:00:00+05:30,BUY,trend_following,CLOSED,18395.85,3000.0
207,2022-11-17 14:15:00+05:30,BUY,trend_following,CLOSED,18393.85,2250.0
208,2022-11-17 14:45:00+05:30,BUY,trend_following,CLOSED,18350.3,-8906.25
209,2022-11-18 14:45:00+05:30,SELL,trend_following,CLOSED,18304.35,-8504.999999999836
210,2022-11-18 15:00:00+05:30,SELL,trend_following,CLOSED,18312.55,2250.0
211,2022-11-21 15:00:00+05:30,SELL,trend_following,CLOSED,18161.3,1500.0
212,2022-11-22 09:45:00+05:30,SELL,trend_following,CLOSED,18207.022124684634,-6214.546756737491
213,2022-11-23 15:00:00+05:30,BUY,trend_following,CLOSED,18728.2875,171295.31249999945
214,2022-11-28 15:00:00+05:30,BUY,trend_following,CLOSED,18574.7,2250.0
215,2022-12-01 15:00:00+05:30,BUY,trend_following,CLOSED,18760.880071740496,-10635.733858388812
216,2022-12-05 12:00:00+05:30,SELL,trend_following,CLOSED,18657.65,1500.0
217,2022-12-05 14:15:00+05:30,SELL,trend_following,CLOSED,18670.7,2250.0
218,2022-12-06 13:30:00+05:30,SELL,trend_following,CLOSED,18617.55,750.0
219,2022-12-06 15:00:00+05:30,SELL,trend_following,CLOSED,18654.9,-1125.0
220,2022-12-07 14:45:00+05:30,SELL,trend_following,CLOSED,18602.25,1500.0
221,2022-12-08 09:45:00+05:30,SELL,trend_following,CLOSED,18598.5,3750.0
222,2022-12-08 10:00:00+05:30,SELL,trend_following,CLOSED,18591.8,3750.0
