equity,drawdown
982073.5174785398,0.00900744416873478
984323.5174785398,0.00900744416873478
985073.5174785398,0.00900744416873478
985823.5174785398,0.00900744416873478
988073.5174785398,0.00900744416873478
989573.5174785398,0.00900744416873478
992573.5174785398,0.00900744416873478
996323.5174785398,0.00900744416873478
999323.5174785398,0.00900744416873478
994228.4702163823,0.00900744416873478
996478.4702163823,0.00900744416873478
1165172.2202163832,0.00900744416873478
1232312.4077163832,0.00900744416873478
1234562.4077163832,0.00900744416873478
1236062.4077163832,0.00900744416873478
1237562.4077163832,0.00900744416873478
1239062.4077163832,0.00900744416873478
1229407.7889272966,0.00900744416873478
1231657.7889272966,0.00900744416873478
1220986.6040651868,0.00900744416873478
1221736.6040651868,0.00900744416873478
1223236.6040651868,0.00900744416873478
1219205.3540651868,0.00900744416873478
1207130.3540651868,0.00900744416873478
1196315.354065187,0.00900744416873478
1192921.6040651873,0.00900744416873478
1196671.6040651873,0.00900744416873478
1200421.6040651873,0.00900744416873478
1187791.6040651873,0.00900744416873478
1189291.6040651873,0.00900744416873478
1190791.6040651873,0.00900744416873478
1192291.6040651873,0.00900744416873478
1193791.6040651873,0.00900744416873478
1194541.6040651873,0.00900744416873478
1184214.1040651875,0.00900744416873478
1185714.1040651875,0.00900744416873478
1189464.1040651875,0.00900744416873478
1193214.1040651875,0.00900744416873478
1195464.1040651875,0.00900744416873478
1196964.1040651875,0.00900744416873478
1197714.1040651875,0.00900744416873478
1201464.1040651875,0.00900744416873478
1205214.1040651875,0.00900744416873478
1196334.1040651875,0.00900744416873478
1184667.5433291502,0.00900744416873478
1172103.7888964869,0.00900744416873478
1163733.7888964869,0.00900744416873478
1155048.7888964866,0.00900744416873478
1144698.7888964866,0.00900744416873478
1137573.7888964866,0.00900744416873478
1141323.7888964866,0.00900744416873478
1129680.0388964869,0.00900744416873478
1131180.0388964869,0.00900744416873478
1132680.0388964869,0.00900744416873478
1122667.5388964869,0.00900744416873478
1113336.1913913747,0.00900744416873478
1114086.1913913747,0.00900744416873478
1107126.1913913747,0.00900744416873478
1098786.191391375,0.00900744416873478
1099536.191391375,0.00900744416873478
1101036.191391375,0.00900744416873478
1101786.191391375,0.00900744416873478
1103286.191391375,0.00900744416873478
1097003.8444417221,0.00900744416873478
1092013.9914848697,0.00900744416873478
1093513.9914848697,0.00900744416873478
1089617.7414848697,0.00900744416873478
1090367.7414848697,0.00900744416873478
1091117.7414848697,0.00900744416873478
1092617.7414848697,0.00900744416873478
1093367.7414848697,0.00900744416873478
1094117.7414848697,0.00900744416873478
1087686.4914848693,0.00900744416873478
1089186.4914848693,0.00900744416873478
1089936.4914848693,0.00900744416873478
1085511.4914848693,0.00900744416873478
1079323.9914848693,0.00900744416873478
1077846.3554848374,0.00900744416873478
1078596.3554848374,0.00900744416873478
1080096.3554848374,0.00900744416873478
1076421.3554848363,0.00900744416873478
1077171.3554848363,0.00900744416873478
1078671.3554848363,0.00900744416873478
1080921.3554848363,0.00900744416873478
1083921.3554848363,0.00900744416873478
1078270.1054848363,0.00900744416873478
1074643.855484836,0.00900744416873478
1069750.105484836,0.00900744416873478
1073500.105484836,0.00900744416873478
1074250.105484836,0.00900744416873478
1075000.105484836,0.00900744416873478
1076500.105484836,0.00900744416873478
1112703.8242348358,0.00900744416873478
1113453.8242348358,0.00900744416873478
1114203.8242348358,0.00900744416873478
1115703.8242348358,0.00900744416873478
1116453.8242348358,0.00900744416873478
1117203.8242348358,0.00900744416873478
1117953.8242348358,0.00900744416873478
1121703.8242348358,0.00900744416873478
1123953.8242348358,0.00900744416873478
1126203.8242348358,0.00900744416873478
1126953.8242348358,0.00900744416873478
1120303.3355080474,0.00900744416873478
1124053.3355080474,0.00900744416873478
1119538.3355080471,0.00900744416873478
1114843.3355080467,0.00900744416873478
1109675.8355080467,0.00900744416873478
1110425.8355080467,0.00900744416873478
1111175.8355080467,0.00900744416873478
1107628.3355080467,0.00900744416873478
